fips_code,PSVI_score,PSVI_cluster
8089,0.03,Minor
56017,0.07,Minor
48295,0.1,Minor
31161,0.13,Minor
20129,0.16,Minor
35059,0.2,Minor
49055,0.23,Minor
30071,0.26,Minor
30001,0.3,Minor
19055,0.33,Minor
48413,0.36,Minor
8023,0.39,Minor
8027,0.43,Minor
41027,0.46,Minor
48129,0.49,Minor
31081,0.53,Minor
48211,0.56,Minor
30105,0.59,Minor
20041,0.62,Minor
30073,0.66,Minor
41023,0.69,Minor
30041,0.72,Minor
17169,0.76,Minor
35023,0.79,Minor
48197,0.82,Minor
46015,0.85,Minor
41015,0.89,Minor
30005,0.92,Minor
49031,0.95,Minor
56035,0.99,Minor
30039,1.02,Minor
30023,1.05,Minor
17045,1.08,Minor
19091,1.12,Minor
16065,1.15,Minor
17171,1.18,Minor
20051,1.22,Minor
46017,1.25,Minor
20169,1.28,Minor
29005,1.31,Minor
17059,1.35,Minor
40025,1.38,Minor
8105,1.41,Minor
30007,1.45,Minor
16045,1.48,Minor
47029,1.51,Minor
8075,1.54,Minor
30027,1.58,Minor
19089,1.61,Minor
29227,1.64,Minor
17027,1.68,Minor
48087,1.71,Minor
31069,1.74,Minor
47003,1.77,Minor
29115,1.81,Minor
28045,1.84,Minor
48075,1.87,Minor
48101,1.91,Minor
26131,1.94,Minor
51685,1.97,Minor
29041,2,Minor
19073,2.04,Minor
38097,2.07,Minor
49009,2.1,Minor
19137,2.14,Minor
20117,2.17,Minor
48447,2.2,Minor
48421,2.23,Minor
31045,2.27,Minor
35037,2.3,Minor
17009,2.33,Minor
31139,2.37,Minor
13047,2.4,Minor
47095,2.43,Minor
20195,2.46,Minor
30051,2.5,Minor
47175,2.53,Minor
31089,2.56,Minor
46005,2.6,Minor
20143,2.63,Minor
19175,2.66,Minor
19015,2.69,Minor
19195,2.73,Minor
35035,2.76,Minor
47153,2.79,Minor
1067,2.83,Minor
30017,2.86,Minor
8043,2.89,Minor
48169,2.92,Minor
49041,2.96,Minor
8073,2.99,Minor
53013,3.02,Minor
21109,3.06,Minor
30049,3.09,Minor
31185,3.12,Minor
35047,3.15,Minor
16075,3.19,Minor
30057,3.22,Minor
17173,3.25,Minor
51580,3.29,Minor
25007,3.32,Minor
5101,3.35,Minor
27023,3.38,Minor
17041,3.42,Minor
48153,3.45,Minor
17017,3.48,Minor
17069,3.52,Minor
29149,3.55,Minor
29011,3.58,Minor
16067,3.61,Minor
5105,3.65,Minor
19147,3.68,Minor
51079,3.71,Minor
51735,3.75,Minor
35029,3.78,Minor
8003,3.81,Minor
48079,3.84,Minor
31133,3.88,Minor
17061,3.91,Minor
41001,3.94,Minor
29025,3.98,Minor
48111,4.01,Minor
55043,4.04,Minor
8119,4.07,Minor
16053,4.11,Minor
19111,4.14,Minor
55023,4.17,Minor
19197,4.2,Minor
18101,4.24,Minor
8025,4.27,Minor
47159,4.3,Minor
29133,4.34,Minor
21083,4.37,Minor
51790,4.4,Minor
46129,4.43,Minor
46009,4.47,Minor
47007,4.5,Minor
13125,4.53,Minor
20159,4.57,Minor
21031,4.6,Minor
21123,4.63,Minor
13283,4.66,Minor
20109,4.7,Minor
48207,4.73,Minor
17181,4.76,Minor
20083,4.8,Minor
18139,4.83,Minor
50013,4.86,Minor
28131,4.89,Minor
55081,4.93,Minor
30037,4.96,Minor
47115,4.99,Minor
20203,5.03,Minor
56043,5.06,Minor
29197,5.09,Minor
55063,5.12,Minor
19007,5.16,Minor
51595,5.19,Minor
28069,5.22,Minor
21229,5.26,Minor
13019,5.29,Minor
48399,5.32,Minor
13177,5.35,Minor
29045,5.39,Minor
48191,5.42,Minor
17085,5.45,Minor
48031,5.49,Minor
30099,5.52,Minor
8015,5.55,Minor
48417,5.58,Minor
30015,5.62,Minor
21237,5.65,Minor
16081,5.68,Minor
19107,5.72,Minor
37005,5.75,Minor
48125,5.78,Minor
20007,5.81,Minor
16033,5.85,Minor
19173,5.88,Minor
46107,5.91,Minor
29167,5.95,Minor
16051,5.98,Minor
30089,6.01,Minor
47067,6.04,Minor
35003,6.08,Minor
47169,6.11,Minor
20161,6.14,Minor
56003,6.18,Minor
19129,6.21,Minor
8007,6.24,Minor
48109,6.27,Minor
9007,6.31,Minor
29057,6.34,Minor
49019,6.37,Minor
55007,6.41,Minor
40057,6.44,Minor
28103,6.47,Minor
26083,6.5,Minor
49015,6.54,Minor
48319,6.57,Minor
17155,6.6,Minor
8111,6.64,Minor
48263,6.67,Minor
29155,6.7,Minor
46023,6.73,Minor
56019,6.77,Minor
29203,6.8,Minor
19127,6.83,Minor
16005,6.87,Minor
13243,6.9,Minor
19011,6.93,Minor
46039,6.96,Minor
19077,7,Minor
28159,7.03,Minor
41035,7.06,Minor
21223,7.1,Minor
20199,7.13,Minor
17023,7.16,Minor
27131,7.19,Minor
29103,7.23,Minor
27027,7.26,Minor
17147,7.29,Minor
27121,7.33,Minor
17033,7.36,Minor
18147,7.39,Minor
48433,7.42,Minor
28099,7.46,Minor
13261,7.49,Minor
13229,7.52,Minor
19117,7.56,Minor
13005,7.59,Minor
13287,7.62,Minor
19159,7.65,Minor
38073,7.69,Minor
31177,7.72,Minor
38045,7.75,Minor
21055,7.79,Minor
21091,7.82,Minor
13161,7.85,Minor
16071,7.88,Minor
48193,7.92,Minor
46047,7.95,Minor
19095,7.98,Minor
13291,8.02,Minor
17151,8.05,Minor
46043,8.08,Minor
20027,8.11,Minor
47099,8.15,Minor
49001,8.18,Minor
19171,8.21,Minor
19099,8.25,Minor
48299,8.28,Minor
13071,8.31,Minor
40105,8.34,Minor
8081,8.38,Minor
29015,8.41,Minor
48179,8.44,Minor
1061,8.48,Minor
17175,8.51,Minor
48107,8.54,Minor
21061,8.57,Minor
20019,8.61,Minor
49023,8.64,Minor
20047,8.67,Minor
13025,8.71,Minor
35027,8.74,Minor
51570,8.77,Minor
21005,8.8,Minor
38093,8.84,Minor
46057,8.87,Minor
20207,8.9,Minor
29139,8.94,Minor
29211,8.97,Minor
8117,9,Minor
49007,9.03,Minor
36099,9.07,Minor
13027,9.1,Minor
46035,9.13,Minor
21155,9.17,Minor
19059,9.2,Minor
8057,9.23,Minor
21041,9.26,Minor
1099,9.3,Minor
13277,9.33,Minor
51181,9.36,Minor
45011,9.4,Minor
13185,9.43,Minor
29209,9.46,Minor
13167,9.49,Minor
19071,9.53,Minor
20111,9.56,Minor
48375,9.59,Minor
13037,9.63,Minor
19157,9.66,Minor
5005,9.69,Minor
46081,9.72,Minor
38031,9.76,Minor
17047,9.79,Minor
8097,9.82,Minor
48025,9.86,Minor
13257,9.89,Minor
13259,9.92,Minor
30097,9.95,Minor
30059,9.99,Minor
17191,10.02,Minor
49029,10.05,Minor
16041,10.09,Minor
47127,10.12,Minor
16057,10.15,Minor
20049,10.18,Minor
49027,10.22,Minor
55013,10.25,Minor
29043,10.28,Minor
38033,10.32,Minor
29179,10.35,Minor
8039,10.38,Minor
20079,10.41,Minor
19101,10.45,Minor
20009,10.48,Minor
41055,10.51,Minor
21087,10.55,Minor
29035,10.58,Minor
39117,10.61,Minor
48053,10.64,Minor
46069,10.68,Minor
48009,10.71,Minor
17021,10.74,Minor
13023,10.78,Minor
27059,10.81,Minor
5015,10.84,Minor
38037,10.87,Minor
46127,10.91,Minor
56009,10.94,Minor
48011,10.97,Minor
41037,11.01,Minor
29065,11.04,Minor
31165,11.07,Minor
27173,11.1,Minor
32015,11.14,Minor
20179,11.17,Minor
21197,11.2,Minor
27065,11.24,Minor
16063,11.27,Minor
38105,11.3,Minor
48359,11.33,Minor
20061,11.37,Minor
13189,11.4,Minor
51610,11.43,Minor
13269,11.47,Minor
36015,11.5,Minor
55049,11.53,Minor
46073,11.56,Minor
56021,11.6,Minor
29229,11.63,Minor
41045,11.66,Minor
13209,11.7,Minor
5123,11.73,Minor
30025,11.76,Minor
56007,11.79,Minor
37199,11.83,Minor
27141,11.86,Minor
41063,11.89,Minor
31017,11.93,Minor
55071,11.96,Minor
29147,11.99,Minor
13281,12.02,Minor
19009,12.06,Minor
20127,12.09,Minor
27073,12.12,Minor
21187,12.16,Minor
13235,12.19,Minor
37073,12.22,Minor
48065,12.25,Minor
46019,12.29,Minor
46083,12.32,Minor
47015,12.35,Minor
51159,12.39,Minor
16073,12.42,Minor
48035,12.45,Minor
49033,12.48,Minor
5127,12.52,Minor
1085,12.55,Minor
56041,12.58,Minor
48229,12.61,Minor
38069,12.65,Minor
17149,12.68,Minor
48267,12.71,Minor
48097,12.75,Minor
21099,12.78,Minor
29175,12.81,Minor
48327,12.84,Minor
30061,12.88,Minor
13149,12.91,Minor
21201,12.94,Minor
31159,12.98,Minor
48007,13.01,Minor
29009,13.04,Minor
41013,13.07,Minor
31145,13.11,Minor
31003,13.14,Minor
28039,13.17,Minor
1027,13.21,Minor
37117,13.24,Minor
48487,13.27,Minor
55009,13.3,Minor
31147,13.34,Minor
55011,13.37,Minor
16003,13.4,Minor
28041,13.44,Minor
21183,13.47,Minor
29185,13.5,Minor
20183,13.53,Minor
13239,13.57,Minor
21007,13.6,Minor
20197,13.63,Minor
13107,13.67,Minor
19045,13.7,Minor
16013,13.73,Minor
21167,13.76,Minor
17071,13.8,Minor
19131,13.83,Minor
30093,13.86,Minor
29069,13.9,Minor
16021,13.93,Minor
13279,13.96,Minor
21077,13.99,Minor
13049,14.03,Minor
28109,14.06,Minor
21105,14.09,Minor
48429,14.13,Minor
19069,14.16,Minor
32001,14.19,Minor
29217,14.22,Minor
40029,14.26,Minor
48483,14.29,Minor
19161,14.32,Minor
5037,14.36,Minor
45061,14.39,Minor
30021,14.42,Minor
21239,14.45,Minor
17083,14.49,Minor
42067,14.52,Minor
21219,14.55,Minor
17053,14.59,Minor
48345,14.62,Minor
55091,14.65,Minor
17025,14.68,Minor
37003,14.72,Minor
47059,14.75,Minor
19187,14.78,Minor
30045,14.82,Minor
29059,14.85,Minor
5087,14.88,Minor
17187,14.91,Minor
31083,14.95,Minor
26003,14.98,Minor
19035,15.01,Minor
32013,15.05,Minor
45065,15.08,Minor
45005,15.11,Minor
5075,15.14,Minor
29087,15.18,Minor
51113,15.21,Minor
13039,15.24,Minor
31119,15.28,Minor
27133,15.31,Minor
31009,15.34,Minor
47033,15.37,Minor
48093,15.41,Minor
19001,15.44,Minor
35057,15.47,Minor
13029,15.51,Minor
22041,15.54,Minor
34017,15.57,Minor
17065,15.6,Minor
45049,15.64,Minor
48189,15.67,Minor
17035,15.7,Minor
41025,15.74,Minor
29037,15.77,Minor
48195,15.8,Minor
38035,15.83,Minor
56037,15.87,Minor
17183,15.9,Minor
30003,15.93,Minor
46115,15.97,Minor
17001,16,Minor
17129,16.03,Minor
13237,16.06,Minor
19043,16.1,Minor
53071,16.13,Minor
40073,16.16,Minor
49047,16.2,Minor
2240,16.23,Minor
13273,16.26,Minor
29137,16.29,Minor
19189,16.33,Minor
16047,16.36,Minor
20155,16.39,Minor
55003,16.43,Minor
20021,16.46,Minor
26053,16.49,Minor
46097,16.52,Minor
30107,16.56,Minor
20063,16.59,Minor
51135,16.62,Minor
30077,16.66,Minor
48253,16.69,Minor
19141,16.72,Minor
26079,16.75,Minor
17051,16.79,Minor
47185,16.82,Minor
40011,16.85,Minor
21057,16.89,Minor
48023,16.92,Minor
13305,16.95,Minor
18129,16.98,Minor
4011,17.02,Minor
29017,17.05,Minor
51131,17.08,Minor
48271,17.12,Minor
16059,17.15,Minor
28075,17.18,Minor
13065,17.21,Minor
27095,17.25,Minor
37177,17.28,Minor
19093,17.31,Minor
39051,17.35,Minor
21011,17.38,Minor
12049,17.41,Minor
29093,17.44,Minor
30095,17.48,Minor
13119,17.51,Minor
48393,17.54,Minor
32007,17.58,Minor
47137,17.61,Minor
28019,17.64,Minor
28061,17.67,Minor
49037,17.71,Minor
13191,17.74,Minor
48163,17.77,Minor
48155,17.81,Minor
17067,17.84,Minor
51105,17.87,Minor
55065,17.9,Minor
37141,17.94,Minor
37189,17.97,Minor
20017,18,Minor
28023,18.04,Minor
17005,18.07,Minor
31115,18.1,Minor
19027,18.13,Minor
46102,18.17,Minor
17133,18.2,Minor
6049,18.23,Minor
21147,18.27,Minor
5137,18.3,Minor
27103,18.33,Minor
19053,18.36,Minor
13181,18.4,Minor
17107,18.43,Minor
13043,18.46,Minor
42093,18.5,Minor
51800,18.53,Minor
13009,18.56,Minor
17189,18.59,Minor
46111,18.63,Minor
17039,18.66,Minor
28059,18.69,Minor
28047,18.73,Minor
29013,18.76,Minor
55037,18.79,Minor
27091,18.82,Minor
19081,18.86,Minor
47119,18.89,Minor
13069,18.92,Minor
13201,18.96,Minor
13267,18.99,Minor
27039,19.02,Minor
40095,19.05,Minor
24029,19.09,Minor
40043,19.12,Minor
21001,19.15,Minor
38063,19.19,Minor
45009,19.22,Minor
55077,19.25,Minor
20005,19.28,Minor
48219,19.32,Minor
51139,19.35,Minor
1047,19.38,Minor
5089,19.42,Minor
46049,19.45,Minor
17121,19.48,Minor
41057,19.51,Minor
21213,19.55,Minor
27155,19.58,Minor
51137,19.61,Minor
29029,19.65,Minor
36011,19.68,Minor
37187,19.71,Minor
36095,19.74,Minor
21009,19.78,Minor
38027,19.81,Minor
21215,19.84,Minor
29121,19.88,Minor
48437,19.91,Minor
12043,19.94,Minor
40101,19.97,Minor
19083,20.01,Minor
16061,20.04,Minor
1053,20.07,Minor
27129,20.11,Minor
48477,20.14,Minor
29177,20.17,Minor
31043,20.2,Minor
30043,20.24,Minor
46055,20.27,Minor
46093,20.3,Minor
13145,20.34,Minor
40133,20.37,Minor
20073,20.4,Minor
35017,20.43,Minor
47061,20.47,Minor
48305,20.5,Minor
37053,20.53,Minor
53045,20.57,Minor
21221,20.6,Minor
20141,20.63,Minor
18007,20.66,Minor
19039,20.7,Minor
8109,20.73,Minor
20077,20.76,Minor
46029,20.8,Minor
21075,20.83,Minor
21203,20.86,Minor
8085,20.89,Minor
40061,20.93,Minor
45031,20.96,Minor
17139,20.99,Minor
17109,21.02,Minor
46135,21.06,Minor
40107,21.09,Minor
51670,21.12,Minor
21165,21.16,Minor
47139,21.19,Minor
13155,21.22,Minor
46067,21.25,Minor
19025,21.29,Minor
45033,21.32,Minor
13319,21.35,Minor
29205,21.39,Minor
1093,21.42,Minor
51101,21.45,Minor
19033,21.48,Minor
29061,21.52,Minor
46003,21.55,Minor
5061,21.58,Minor
26061,21.62,Minor
1075,21.65,Minor
55035,21.68,Minor
28101,21.71,Minor
40081,21.75,Minor
1057,21.78,Minor
21225,21.81,Minor
20171,21.85,Minor
21137,21.88,Minor
1007,21.91,Minor
47079,21.94,Minor
53059,21.98,Minor
24019,22.01,Minor
18021,22.04,Minor
19163,22.08,Minor
40141,22.11,Minor
13133,22.14,Minor
5023,22.17,Minor
53023,22.21,Minor
1021,22.24,Minor
16077,22.27,Minor
27107,22.31,Minor
5055,22.34,Minor
20035,22.37,Minor
41021,22.4,Minor
16007,22.44,Minor
48341,22.47,Minor
46013,22.5,Minor
31103,22.54,Minor
31067,22.57,Minor
56033,22.6,Minor
1103,22.63,Minor
17125,22.67,Minor
18027,22.7,Minor
1105,22.73,Minor
18041,22.77,Minor
29079,22.8,Minor
19183,22.83,Minor
48175,22.86,Minor
19145,22.9,Minor
48445,22.93,Minor
28097,22.96,Minor
21023,23,Minor
33019,23.03,Minor
38089,23.06,Minor
48317,23.09,Minor
48019,23.13,Minor
21217,23.16,Minor
29127,23.19,Minor
27101,23.23,Minor
18005,23.26,Minor
26071,23.29,Minor
29003,23.32,Minor
31101,23.36,Minor
1071,23.39,Minor
29171,23.42,Minor
45001,23.46,Minor
29223,23.49,Minor
29153,23.52,Minor
41061,23.55,Minor
27109,23.59,Minor
49017,23.62,Minor
48045,23.65,Minor
55135,23.69,Minor
48283,23.72,Minor
47041,23.75,Minor
37197,23.78,Minor
24041,23.82,Minor
26043,23.85,Minor
51730,23.88,Minor
16031,23.92,Minor
35053,23.95,Minor
13105,23.98,Minor
21021,24.01,Minor
48265,24.05,Minor
38059,24.08,Minor
47049,24.11,Minor
29083,24.15,Minor
13299,24.18,Minor
13249,24.21,Minor
8047,24.24,Minor
18061,24.28,Minor
40151,24.31,Minor
13163,24.34,Minor
40033,24.38,Minor
42109,24.41,Minor
21101,24.44,Minor
40139,24.47,Minor
48127,24.51,Minor
18149,24.54,Minor
12079,24.57,Minor
20123,24.61,Minor
51011,24.64,Minor
19031,24.67,Minor
45081,24.7,Minor
31151,24.74,Minor
48465,24.77,Minor
48369,24.8,Minor
48357,24.84,Minor
39107,24.87,Minor
47035,24.9,Minor
12125,24.93,Minor
55051,24.97,Minor
20013,25,Minor
29051,25.03,Minor
21173,25.07,Minor
48171,25.1,Minor
24037,25.13,Minor
16039,25.16,Minor
28111,25.2,Minor
19191,25.23,Minor
18037,25.26,Minor
41049,25.3,Minor
29001,25.33,Minor
46109,25.36,Minor
48233,25.39,Minor
37153,25.43,Minor
27079,25.46,Minor
21085,25.49,Minor
6015,25.53,Minor
55001,25.56,Minor
40115,25.59,Minor
47129,25.62,Minor
49025,25.66,Minor
19029,25.69,Minor
21045,25.72,Minor
55097,25.76,Minor
13003,25.79,Minor
47133,25.82,Minor
28065,25.85,Minor
21097,25.89,Minor
24035,25.92,Minor
55045,25.95,Minor
21177,25.99,Minor
1121,26.02,Minor
5081,26.05,Minor
17079,26.08,Minor
56045,26.12,Minor
42087,26.15,Minor
13253,26.18,Minor
48501,26.22,Minor
28125,26.25,Minor
8029,26.28,Minor
8083,26.31,Minor
8087,26.35,Minor
20185,26.38,Minor
27125,26.41,Minor
38011,26.45,Minor
13087,26.48,Minor
1045,26.51,Minor
38015,26.54,Minor
13165,26.58,Minor
36037,26.61,Minor
47017,26.64,Minor
29105,26.68,Minor
51175,26.71,Minor
13199,26.74,Minor
31085,26.77,Minor
29073,26.81,Minor
18161,26.84,Minor
27139,26.87,Minor
13035,26.91,Minor
38007,26.94,Minor
13001,26.97,Minor
48503,27,Minor
13103,27.04,Minor
31099,27.07,Minor
36123,27.1,Minor
53017,27.14,Minor
51147,27.17,Minor
30081,27.2,Minor
51033,27.23,Minor
48411,27.27,Minor
19063,27.3,Minor
1041,27.33,Minor
48337,27.37,Minor
16009,27.4,Minor
27115,27.43,Minor
47109,27.46,Minor
29215,27.5,Minor
2261,27.53,Minor
19065,27.56,Minor
18165,27.6,Minor
21081,27.63,Minor
40067,27.66,Minor
41011,27.69,Minor
29091,27.73,Minor
31049,27.76,Minor
29085,27.79,Minor
13301,27.83,Minor
49013,27.86,Minor
17075,27.89,Minor
19105,27.92,Minor
19041,27.96,Minor
18049,27.99,Minor
48115,28.02,Minor
12055,28.06,Minor
51109,28.09,Minor
18183,28.12,Minor
13247,28.15,Minor
48223,28.19,Minor
29151,28.22,Minor
12027,28.25,Minor
28139,28.29,Minor
28091,28.32,Minor
29173,28.35,Minor
27009,28.38,Minor
5111,28.42,Minor
47117,28.45,Minor
37055,28.48,Minor
45043,28.52,Minor
30033,28.55,Minor
19133,28.58,Minor
31079,28.61,Minor
31011,28.65,Minor
48239,28.68,Minor
19169,28.71,Minor
1133,28.75,Minor
12003,28.78,Minor
28105,28.81,Minor
27013,28.84,Minor
16019,28.88,Minor
51057,28.91,Minor
8065,28.94,Minor
20201,28.98,Minor
17203,29.01,Minor
48055,29.04,Minor
5073,29.07,Minor
13225,29.11,Minor
21179,29.14,Minor
56039,29.17,Minor
13143,29.2,Minor
20181,29.24,Minor
21149,29.27,Minor
32027,29.3,Minor
20037,29.34,Minor
48149,29.37,Minor
55031,29.4,Minor
31027,29.43,Minor
19097,29.47,Minor
20175,29.5,Minor
55109,29.53,Minor
18115,29.57,Minor
8067,29.6,Minor
26119,29.63,Minor
46117,29.66,Minor
4009,29.7,Minor
29019,29.73,Minor
31031,29.76,Minor
21141,29.8,Minor
29181,29.83,Minor
18025,29.86,Minor
18011,29.89,Minor
21139,29.93,Minor
8115,29.96,Minor
40027,29.99,Minor
40007,30.03,Minor
1083,30.06,Minor
21017,30.09,Minor
2290,30.12,Minor
51640,30.16,Minor
46061,30.19,Minor
32021,30.22,Minor
13183,30.26,Minor
47025,30.29,Minor
19013,30.32,Minor
31063,30.35,Minor
38075,30.39,Minor
29109,30.42,Minor
20165,30.45,Minor
45041,30.49,Minor
24011,30.52,Minor
19135,30.55,Minor
5135,30.58,Minor
12007,30.62,Minor
13193,30.65,Minor
17135,30.68,Minor
48435,30.72,Minor
21113,30.75,Minor
13079,30.78,Minor
17123,30.81,Minor
47101,30.85,Minor
21043,30.88,Minor
19109,30.91,Minor
29135,30.95,Minor
41007,30.98,Minor
35015,31.01,Minor
31163,31.04,Minor
56025,31.08,Minor
48259,31.11,Minor
19067,31.14,Minor
31127,31.18,Minor
22121,31.21,Minor
51017,31.24,Minor
54037,31.27,Minor
37185,31.31,Minor
31137,31.34,Minor
21145,31.37,Minor
40003,31.41,Minor
47161,31.44,Minor
16023,31.47,Minor
20125,31.5,Minor
21129,31.54,Minor
48133,31.57,Minor
17087,31.6,Minor
5065,31.64,Minor
55078,31.67,Minor
55061,31.7,Minor
29027,31.73,Minor
37041,31.77,Minor
20003,31.8,Minor
55137,31.83,Minor
48249,31.87,Minor
16085,31.9,Minor
31041,31.93,Minor
29157,31.96,Minor
21207,32,Minor
31179,32.03,Minor
51630,32.06,Minor
31167,32.1,Minor
18001,32.13,Minor
48495,32.16,Minor
27049,32.19,Minor
42119,32.23,Minor
40129,32.26,Minor
21233,32.29,Minor
21157,32.33,Minor
40135,32.36,Minor
1111,32.39,Minor
31035,32.42,Minor
28147,32.46,Minor
55069,32.49,Minor
20031,32.52,Minor
17029,32.56,Minor
47045,32.59,Minor
21053,32.62,Minor
31111,32.65,Minor
22101,32.69,Minor
48331,32.72,Minor
21171,32.75,Minor
48099,32.79,Minor
8017,32.82,Minor
1123,32.85,Minor
19079,32.88,Minor
18031,32.92,Minor
40039,32.95,Minor
51840,32.98,Minor
55019,33.02,Minor
55129,33.05,Minor
48021,33.08,Minor
48221,33.11,Minor
12059,33.15,Minor
13169,33.18,Minor
21143,33.21,Minor
29007,33.25,Minor
38061,33.28,Minor
20099,33.31,Minor
5141,33.34,Minor
19139,33.38,Minor
20147,33.41,Minor
21033,33.44,Minor
18153,33.48,Minor
26141,33.51,Minor
19003,33.54,Minor
48241,33.57,Minor
26009,33.61,Minor
13159,33.64,Minor
47021,33.67,Minor
16079,33.71,Minor
27117,33.74,Minor
26019,33.77,Minor
1119,33.8,Minor
40111,33.84,Minor
21169,33.87,Minor
45067,33.9,Minor
28043,33.94,Minor
31061,33.97,Minor
28053,34,Minor
47143,34.03,Minor
1049,34.07,Minor
20145,34.1,Minor
41053,34.13,Minor
37103,34.17,Minor
18083,34.2,Minor
46007,34.23,Minor
31095,34.26,Minor
53043,34.3,Minor
19167,34.33,Minor
12077,34.36,Minor
40137,34.4,Minor
13053,34.43,Minor
17137,34.46,Minor
38003,34.49,Minor
13081,34.53,Minor
17145,34.56,Minor
13011,34.59,Minor
28011,34.63,Minor
37047,34.66,Minor
47173,34.69,Minor
48405,34.72,Minor
31073,34.76,Minor
32023,34.79,Minor
48041,34.82,Minor
48489,34.86,Minor
39159,34.89,Minor
46085,34.92,Minor
46077,34.95,Minor
48217,34.99,Minor
1011,35.02,Minor
19149,35.05,Minor
21107,35.09,Minor
40075,35.12,Minor
47013,35.15,Minor
19075,35.18,Minor
48385,35.22,Minor
13217,35.25,Minor
19103,35.28,Minor
19151,35.32,Minor
27157,35.35,Minor
29033,35.38,Minor
21049,35.41,Minor
48321,35.45,Minor
5077,35.48,Minor
27161,35.51,Minor
53055,35.55,Minor
30009,35.58,Minor
31169,35.61,Minor
21231,35.64,Minor
46075,35.68,Minor
5085,35.71,Minor
21121,35.74,Minor
